series,freq,months_lag,block_g1,block_g2,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8
China: CPI: Excluding Food and Energy (Core CPI): MoM,M,1,1,1,0,0,0,0,1,0,0,0
China: Basket Crude Oil Price Change Rate,M,0,1,1,0,0,0,0,1,0,0,0
China: Consumer Confidence Index:PoP chg,M,2,1,1,0,0,0,0,1,0,0,0
China: Consumer Expectation Index:PoP chg,M,2,1,1,0,0,0,0,1,0,0,0
China: Index of Future Price Expectation:PoP chg,Q,2,1,1,0,0,0,0,1,0,0,0
China Bulk Commodity Price Index: General Index:PoP,M,1,1,1,0,0,0,0,1,0,0,0
China: Price Index for Means of Production:PoP,M,1,1,1,0,0,0,0,1,0,0,0
China Bulk Commodity Price Index: Energy:PoP,M,1,1,1,0,0,0,0,1,0,0,0
China: CPI: Food: MoM,M,1,1,1,0,0,0,0,1,0,0,0
China: CPI: Non-food: MoM,M,1,1,1,0,0,0,0,1,0,0,0
China: CPI: Consumer Goods: MoM,M,1,1,1,0,0,0,0,1,0,0,0
China: CPI: Services: MoM,M,1,1,1,0,0,0,0,1,0,0,0
China: PPI: Means of Production: MoM,M,1,1,1,0,0,0,0,1,0,0,0
China: PPI: Consumer Goods: MoM,M,1,1,1,0,0,0,0,1,0,0,0
China: BCI: Labor Costs:PoP,M,0,1,1,0,0,0,0,1,0,0,0
China: Total Retail Sales of Consumer Goods:PoP GROWTHRATE,M,1,1,1,0,0,0,0,0,1,0,0
China: Total Retail Sales of Consumer Goods: Merchandise Retail:PoP GROWTHRATE,M,1,1,1,0,0,0,0,0,1,0,0
China: Total Retail Sales of Consumer Goods: Catering Revenue:PoP GROWTHRATE,M,1,1,1,0,0,0,0,0,1,0,0
China: Total Retail Sales of Consumer Goods: Retail Sales of the Enterprises (units) excluding Vehicles:PoP GROWTHRATE,M,1,1,1,0,0,0,0,0,1,0,0
China: Retail Sales of the Enterprises (units) above Designated Size:PoP GROWTHRATE,M,1,1,1,0,0,0,0,0,1,0,0
China: Value of Imports and Exports:PoP GROWTHRATE,M,1,1,1,0,0,0,0,0,1,0,0
China: Trade Balance:Combine With Forecast:PoP GROWTHRATE,M,1,1,1,0,0,0,0,0,1,0,0
China: GDP: Current Prices:PoP GROWTHRATE,Q,1,1,1,1,1,1,1,1,1,1,1
China: FAI: YTD:PoP GROWTHRATE,M,1,1,1,0,0,0,0,0,0,1,0
China: Completed Investment in Real Estate Development: YTD:PoP GROWTHRATE,M,1,1,1,0,0,0,0,0,0,1,0
China: Financial Institutions: Total Loans Balance: RMB:PoP GROWTHRATE,M,1,1,1,0,0,0,0,0,0,0,1
China: Financial Institutions: New RMB Loans:PoP GROWTHRATE,M,1,1,1,0,0,0,0,0,0,0,1
China: Financial Institutions: Total Deposits Balance: RMB:PoP GROWTHRATE,M,1,1,1,0,0,0,0,0,0,0,1
China: Financial Institutions: New RMB Deposits:PoP GROWTHRATE,M,1,1,1,0,0,0,0,0,0,0,1
China: M0:PoP GROWTHRATE,M,1,1,1,0,0,0,0,0,0,0,1
China: M1:PoP GROWTHRATE,M,1,1,1,0,0,0,0,0,0,0,1
China: Credit Lending Weighted Interest Rate of Depository Institutions: 3M:PoP chg,M,0,1,1,0,0,0,0,0,0,0,1
China: SHIBOR: O/N:PoP chg,M,0,1,1,0,0,0,0,0,0,0,1
China: SHIBOR: 1W:PoP chg,M,0,1,1,0,0,0,0,0,0,0,1
