series,freq,months_lag,block_g1,block_g2,block_g3,block_g4,block_g5
China Electricity Coal of Purchasing Manager Index: Composite Index:PoP chg,M,1,1,1,1,1,1
China Forestry Purchasing Managers' Index:PoP chg,M,1,1,1,1,1,1
China: CPI: Fixed-base Index:PoP GROWTHRATE,M,1,1,1,1,1,1
China: PPI: Fixed-base Index:PoP GROWTHRATE,M,1,1,1,1,1,1
China: PPI: Total Industry Products: MoM,M,1,1,1,1,1,1
China: CPI: Excluding Food and Energy (Core CPI): MoM,M,1,1,1,1,1,1
China: Basket Crude Oil Price Change Rate,M,1,1,1,1,1,1
China: Consumer Confidence Index:PoP chg,M,1,1,1,1,1,1
China: Consumer Expectation Index:PoP chg,M,1,1,1,1,1,1
China: Index of Future Price Expectation:PoP chg,Q,1,1,1,1,1,1
China Bulk Commodity Price Index: General Index:PoP,M,1,1,1,1,1,1
China: Price Index for Means of Production:PoP,M,1,1,1,1,1,1
China Bulk Commodity Price Index: Energy:PoP,M,1,1,1,1,1,1
China: CPI: Food: MoM,M,1,1,1,1,1,1
China: CPI: Non-food: MoM,M,1,1,1,1,1,1
China: CPI: Consumer Goods: MoM,M,1,1,1,1,1,1
China: CPI: Services: MoM,M,1,1,1,1,1,1
China: PPI: Means of Production: MoM,M,1,1,1,1,1,1
China: PPI: Consumer Goods: MoM,M,1,1,1,1,1,1
China: BCI: Labor Costs:PoP,M,1,1,1,1,1,1
China: Total Retail Sales of Consumer Goods:PoP GROWTHRATE,M,1,1,1,1,1,1
China: Total Retail Sales of Consumer Goods: Merchandise Retail:PoP GROWTHRATE,M,1,1,1,1,1,1
China: Total Retail Sales of Consumer Goods: Catering Revenue:PoP GROWTHRATE,M,1,1,1,1,1,1
China: Total Retail Sales of Consumer Goods: Retail Sales of the Enterprises (units) excluding Vehicles:PoP GROWTHRATE,M,1,1,1,1,1,1
China: Retail Sales of the Enterprises (units) above Designated Size:PoP GROWTHRATE,M,1,1,1,1,1,1
China: Value of Imports and Exports:PoP GROWTHRATE,M,1,1,1,1,1,1
China: Trade Balance:Combine With Forecast:PoP GROWTHRATE,M,1,1,1,1,1,1
China: GDP: Current Prices:PoP GROWTHRATE,Q,1,1,1,1,1,1
China: FAI: YTD:PoP GROWTHRATE,M,1,1,1,1,1,1
China: Completed Investment in Real Estate Development: YTD:PoP GROWTHRATE,M,1,1,1,1,1,1
China: Financial Institutions: Total Loans Balance: RMB:PoP GROWTHRATE,M,1,1,1,1,1,1
China: Financial Institutions: New RMB Loans:PoP GROWTHRATE,M,1,1,1,1,1,1
China: Financial Institutions: Total Deposits Balance: RMB:PoP GROWTHRATE,M,1,1,1,1,1,1
China: Financial Institutions: New RMB Deposits:PoP GROWTHRATE,M,1,1,1,1,1,1
China: M0:PoP GROWTHRATE,M,1,1,1,1,1,1
China: M1:PoP GROWTHRATE,M,1,1,1,1,1,1
China: Credit Lending Weighted Interest Rate of Depository Institutions: 3M:PoP chg,M,1,1,1,1,1,1
China: SHIBOR: O/N:PoP chg,M,1,1,1,1,1,1
China: SHIBOR: 1W:PoP chg,M,1,1,1,1,1,1
