date,midas_0,midas_1,midas_2,midas_3,lstm_0,lstm_1,lstm_2,lstm_3,elastic_net_0,elastic_net_1,elastic_net_2,elastic_net_3,dfm_mq_0,dfm_mq_1,dfm_mq_2,dfm_mq_3,target
2021-12-31,0.257006808,0.252241376,0.145284507,0.145056131,0.49375767,0.44993958,0.6620773,0.7296749,0.4730844357961278,0.4730844357961278,0.4730844357961278,0.4723299313954624,0.409905986,0.459548348,0.512478117,0.130374892,0.633792606
2022-01-31,,,,,,,,,,,,,,,,,
2022-02-28,,,,,,,,,,,,,,,,,
2022-03-31,-0.884176163,-0.84303949,-0.839636361,-0.837226808,-1.2705339,-1.1274178,-0.260886,-0.029755497,-1.117585980446787,-1.117585980446787,-1.117585980446787,-1.1252311007137368,-0.289606778,-0.229727953,-0.256441822,-0.221399661,-1.716780101
2022-04-30,,,,,,,,,,,,,,,,,
2022-05-31,,,,,,,,,,,,,,,,,
2022-06-30,0.074667021,0.278872975,0.155950849,0.15844376,0.2268734,0.06138122,0.29506877,0.42141214,0.301718612453718,0.301718612453718,0.3446098837735928,0.3446098837735928,0.943148867,0.454452524,0.179948778,0.210817645,0.3690843
2022-07-31,,,,,,,,,,,,,,,,,
2022-08-31,,,,,,,,,,,,,,,,,
2022-09-30,-0.046052138,0.219193614,0.17624409,0.172351552,-0.005863282,-0.14298035,0.38624394,0.39418873,-0.3011590871169023,-0.3011590871169023,-0.3011590871169023,-0.3105189006529435,-0.384242906,-0.454138236,-0.127436416,-0.56899752,0.157289807
2022-10-31,,,,,,,,,,,,,,,,,
2022-11-30,,,,,,,,,,,,,,,,,
2022-12-31,0.162387325,0.180501879,0.142460492,0.142013939,0.34085652,0.40469044,0.43483678,0.5430019,0.7196944979047692,0.7196944979047692,0.7196944979047692,0.7633009027733488,-0.003410868,0.092707859,0.047271572,0.20732978,0.389638432
2023-01-31,,,,,,,,,,,,,,,,,
2023-02-28,,,,,,,,,,,,,,,,,
2023-03-31,-0.843237718,-0.746224782,-0.84566785,-0.841756206,-0.5960254,-0.481642,-0.14050119,-0.046533037,-0.8136184075106255,-0.8136184075106255,-0.8136184075106255,-0.8241251805305864,-0.451103148,-0.200783429,0.0041189,-0.261007953,-1.51060272
2023-04-30,,,,,,,,,,,,,,,,,
2023-05-31,,,,,,,,,,,,,,,,,
2023-06-30,0.1890383,0.32335367,0.157882866,0.159034481,0.27135867,0.25723237,0.18532531,0.2264044,0.2010999403072805,0.2010999403072805,0.1890998063886824,0.1890998063886824,0.316000263,0.227045198,0.116712317,0.097998038,0.384809457
2023-07-31,,,,,,,,,,,,,,,,,
2023-08-31,,,,,,,,,,,,,,,,,
2023-09-30,-0.032082766,0.15063469,0.172560793,0.170518883,0.24397013,0.21731737,0.44355398,0.49399066,0.0569831994022898,0.0569831994022898,0.0569831994022898,0.0532957474297928,0.001798158,-0.03456354,-0.144451325,-0.181272636,0.043898913
2023-10-31,,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,,
2023-12-31,0.178138449,0.172361636,0.14080117,0.139295318,0.4467501,0.46161374,0.40589982,0.45423126,0.5004329593076784,0.5004329593076784,0.5004329593076784,0.4998242974969843,0.115618225,0.23734591,0.262196831,0.30330878,0.408796454
2024-01-31,,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,,
2024-03-31,-0.804220727,-0.795951171,-0.85226858,-0.851359547,-1.1857069,-0.41903728,-0.22074533,0.17082165,-1.1813578342123536,-1.1779018051146648,-1.177900643885097,-0.3243136487875031,-0.446653936,-0.435580868,-0.243476495,-0.229382218,-1.509544192
2024-04-30,,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,,
2024-06-30,0.172782847,0.282598719,0.154622005,0.156396501,0.121169165,0.09906505,0.30887967,0.39546102,0.12567701326,0.1370140596234997,0.2701718363413659,0.2707007533869068,0.6057939,0.545255713,0.168515165,0.137221085,0.369398826
